State,Year,Totals.Sales tax
California,1996,24092750
California,1997,25222055
California,1998,26511610
California,1999,28319707
California,2000,29620197
California,2001,30750064
California,2002,30702048
California,2003,31914035
California,2004,33984188
California,2005,37673127
California,2006,39942812
California,2007,40503828
California,2008,39807724
California,2009,36381343
California,2010,40933186
California,2011,47616459
California,2012,41341188
California,2013,48074580
