Player,REB,AST,PTS
Andre Iguodala,8.65%,12.06%,7.22%
Andrew Bogut,11.86%,5.32%,3.38%
Harrison Barnes,10.08%,5.36%,8.67%
Kevon Looney,8.36%,3.06%,4.16%
Shaun Livingston,4.51%,6.67%,4.74%
