Player,3P,Team,Date
Klay Thompson,14,Warriors,10/29/18
Zach Lavine,13,Bulls,11/23/19
Stephen Curry1,13,Warriors,11/7/16
Stephen Curry2,12,Warriors,2/27/16
Kobe Bryant,12,Lakers,1/7/03
