Season,REB,AST,PTS
2012,3.3,0.7,2.9
2013,5,1.9,6.2
2014,8.2,3.7,11.7
2015,9.5,7.4,14
2016,7.9,7,10.2
2017,7.6,7.3,11
2018,7.3,6.9,7.4
2019,6.2,6.2,8
2020,6.5,8.5,6.4
